SYSTEM,COUNTY,VENDOR,ESC
GODLEY,JOHNSON,VANDERVOORT,1
JOSHUA,JOHNSON,VANDERVOORT,1
RIO VISTA,JOHNSON,VANDERVOORT,1
CRANDALL,KAUFMAN,CABELL,0
CRANDALL,KAUFMAN,SCHEPPS,1
PARIS,LAMAR,CABELL,0
CHINA SPRINGS,MC CLENNAN,BORDEN,0
CHINA SPRINGS,MC CLENNAN,OAK FARMS,0
CONNALLY,MC CLENNAN,BORDEN,0
CONNALLY,MC CLENNAN,OAK FARMS,0
MCGREGOR,MC CLENNAN,BORDEN,0
MCGREGOR,MC CLENNAN,BORDEN,1
ROBINSON,MC CLENNAN,BORDEN,0
ROBINSON,MC CLENNAN,BORDEN,1
ROBINSON,MC CLENNAN,OAK FARMS,0
WACO,MC CLENNAN,BORDEN,0
WACO,MC CLENNAN,OAK FARMS,0
WEST,MC CLENNAN,BORDEN,0
WEST,MC CLENNAN,BORDEN,1
MEDINA VALLEY,MEDINA,BORDEN,0
MEDINA VALLEY,MEDINA,PRESTON,0
GRAFORD,PALO PINTO,OAK FARMS,1
SANTO,PALO PINTO,BORDEN,1
PEASTER,PARKER,CABELL,1
WEATHERFORD,PARKER,BORDEN,1
WEATHERFORD,PARKER,CABELL,1
WEATHERFORD,PARKER,VANDERVOORT,1
ARLINGTON,TARRANT,OAK FARMS,1
ARLINGTON,TARRANT,SCHEPPS,1
ARLINGTON,TARRANT,VANDERVOORT,1
CARROLL,TARRANT,BORDEN,1
CARROLL,TARRANT,CABELL,1
CASTLEBERRY,TARRANT,BORDEN,1
CASTLEBERRY,TARRANT,SCHEPPS,1
CROWLEY,TARRANT,SCHEPPS,0
CROWLEY,TARRANT,SCHEPPS,1
CROWLEY,TARRANT,VANDERVOORT,1
FORT WORTH,TARRANT,BORDEN,1
FORT WORTH,TARRANT,CABELL,0
FORT WORTH,TARRANT,SCHEPPS,0
FORT WORTH,TARRANT,VANDERVOORT,0
GRAPEVINE-COLLEYVILLE,TARRANT,CABELL,0
GRAPEVINE-COLLEYVILLE,TARRANT,SCHEPPS,0
HEB,TARRANT,SCHEPPS,0
HEB,TARRANT,VANDERVOORT,0
KELLER,TARRANT,VANDERVOORT,0
MANSFIELD,TARRANT,VANDERVOORT,0
AUSTIN,TRAVIS,OAK FARMS,0
AUSTIN,TRAVIS,SCHEPPS,0
LA VERNIA,WILSON,BORDEN,0
LA VERNIA,WILSON,PRESTON,0
ALVORD,WISE,OAK FARMS,0
BRIDGEPORT,WISE,BORDEN,1
BRIDGEPORT,WISE,VANDERVOORT,1
