SYSTEM,COUNTY,VENDOR,ESC
HIGHLAND PARK,DALLAS,SCHEPPS,1
IRVING,DALLAS,BORDEN,0
IRVING,DALLAS,CABELL,0
IRVING,DALLAS,CABELL,1
IRVING,DALLAS,OAK FARMS,0
IRVING,DALLAS,SCHEPPS,0
IRVING,DALLAS,SCHEPPS,1
IRVING,DALLAS,VANDERVOORT,1
LANCASTER,DALLAS,BORDEN,1
LANCASTER,DALLAS,OAK FARMS,0
LANCASTER,DALLAS,SCHEPPS,0
LANCASTER,DALLAS,SCHEPPS,1
MESQUITE,DALLAS,CABELL,0
MESQUITE,DALLAS,SCHEPPS,1
RICHARDSON,DALLAS,CABELL,1
RICHARDSON,DALLAS,SCHEPPS,1
RICHARDSON,DALLAS,VANDERVOORT,1
WILMER-HUTCHINS,DALLAS,BORDEN,0
ARGYLE,DENTON,VANDERVOORT,0
DENTON,DENTON,BORDEN,1
DENTON,DENTON,SCHEPPS,1
DENTON,DENTON,VANDERVOORT,0
LEWISVILLE,DENTON,BORDEN,1
LEWISVILLE,DENTON,CABELL,0
LEWISVILLE,DENTON,CABELL,1
LEWISVILLE,DENTON,SCHEPPS,0
LEWISVILLE,DENTON,SCHEPPS,1
LEWISVILLE,DENTON,VANDERVOORT,1
LITTLE ELM,DENTON,BORDEN,1
SANGER,DENTON,SCHEPPS,0
ENNIS,ELLIS,BORDEN,0
ENNIS,ELLIS,OAK FARMS,0
ENNIS,ELLIS,SCHEPPS,0
FERRIS,ELLIS,OAK FARMS,0
FERRIS,ELLIS,SCHEPPS,0
MAYPEARL,ELLIS,OAK FARMS,0
MIDLOTHIAN,ELLIS,BORDEN,0
MIDLOTHIAN,ELLIS,OAK FARMS,0
MILFORD,ELLIS,BORDEN,1
PALMER,ELLIS,OAK FARMS,0
RED OAK,ELLIS,BORDEN,1
RED OAK,ELLIS,OAK FARMS,0
WAXAHACHIE,ELLIS,BORDEN,0
WAXAHACHIE,ELLIS,OAK FARMS,0
WAXAHACHIE,ELLIS,SCHEPPS,1
WAXAHACHIE,ELLIS,VANDERVOORT,1
STEPHENVILLE,ERATH,BORDEN,0
CHILTON,FALLS,BORDEN,0
ROSEBUD,FALLS,BORDEN,0
MOUNT VERNON,FRANKLIN,PRESTON,0
POTTSBORO,GRAYSON,CABELL,0
POTTSBORO,GRAYSON,SCHEPPS,0
WHITESBORO,GRAYSON,BORDEN,1
WHITESBORO,GRAYSON,SCHEPPS,0
SCHERTZ-CIBOLO-UNIVERSAL CITY,GUADALUPE,OAK FARMS,0
SCHERTZ-CIBOLO-UNIVERSAL CITY,GUADALUPE,PRESTON,0
SCHERTZ-CIBOLO-UNIVERSAL CITY,GUADALUPE,SCHEPPS,0
EUSTACE,HENDERSON,BORDEN,0
GRANBURY,HOOD,BORDEN,1
GRANBURY,HOOD,CABELL,1
GRANBURY,HOOD,FOREMOST,1
GRANBURY,HOOD,VANDERVOORT,1
TOLAR,HOOD,BORDEN,1
COMO-PICKTON,HOPKINS,BORDEN,1
SULPHER SPRNG,HOPKINS,BORDEN,1
GREENVILLE,HUNT,BORDEN,1
GREENVILLE,HUNT,SCHEPPS,0
GREENVILLE,HUNT,SCHEPPS,1
WOLFE CITY,HUNT,BORDEN,1
PERRIN-WHITT,JACK,OAK FARMS,0
ALVARADO,JOHNSON,BORDEN,1
BURLESON,JOHNSON,CABELL,0
BURLESON,JOHNSON,VANDERVOORT,0
CLEBURNE,JOHNSON,BORDEN,1
CLEBURNE,JOHNSON,CABELL,0
CLEBURNE,JOHNSON,VANDERVOORT,0
CLEBURNE,JOHNSON,VANDERVOORT,1
GODLEY,JOHNSON,VANDERVOORT,1
JOSHUA,JOHNSON,VANDERVOORT,1
RIO VISTA,JOHNSON,BORDEN,1
RIO VISTA,JOHNSON,VANDERVOORT,1
CRANDALL,KAUFMAN,CABELL,0
CRANDALL,KAUFMAN,SCHEPPS,1
FORNEY,KAUFMAN,BORDEN,1
TERRELL,KAUFMAN,CABELL,0
BOERNE,KENDALL,BORDEN,0
BOERNE,KENDALL,OAK FARMS,0
BOERNE,KENDALL,PRESTON,0
PARIS,LAMAR,CABELL,0
CHINA SPRINGS,MC CLENNAN,BORDEN,0
CHINA SPRINGS,MC CLENNAN,OAK FARMS,0
CONNALLY,MC CLENNAN,BORDEN,0
CONNALLY,MC CLENNAN,OAK FARMS,0
MART,MC CLENNAN,BORDEN,0
MCGREGOR,MC CLENNAN,BORDEN,0
MCGREGOR,MC CLENNAN,BORDEN,1
MCGREGOR,MC CLENNAN,OAK FARMS,0
ROBINSON,MC CLENNAN,BORDEN,0
ROBINSON,MC CLENNAN,BORDEN,1
ROBINSON,MC CLENNAN,OAK FARMS,0
WACO,MC CLENNAN,BORDEN,0
WACO,MC CLENNAN,OAK FARMS,0
WEST,MC CLENNAN,BORDEN,0
WEST,MC CLENNAN,BORDEN,1
WEST,MC CLENNAN,OAK FARMS,0
MEDINA VALLEY,MEDINA,BORDEN,0
MEDINA VALLEY,MEDINA,PRESTON,0
GORDON,PALO PINTO,BORDEN,1
GRAFORD,PALO PINTO,OAK FARMS,1
MINERAL WELLS,PALO PINTO,BORDEN,1
MINERAL WELLS,PALO PINTO,VANDERVOORT,1
SANTO,PALO PINTO,BORDEN,1
ALEDO,PARKER,PRESTON,1
ALEDO,PARKER,VANDERVOORT,1
GARNER,PARKER,BORDEN,1
MILLSAP,PARKER,BORDEN,1
PEASTER,PARKER,CABELL,1
SPRINGTOWN,PARKER,VANDERVOORT,1
WEATHERFORD,PARKER,BORDEN,1
WEATHERFORD,PARKER,CABELL,1
WEATHERFORD,PARKER,VANDERVOORT,1
GLEN ROSE,SOMERVELL,FOREMOST,0
ARLINGTON,TARRANT,OAK FARMS,0
ARLINGTON,TARRANT,OAK FARMS,1
ARLINGTON,TARRANT,SCHEPPS,1
ARLINGTON,TARRANT,VANDERVOORT,1
BIRDVILLE,TARRANT,OAK FARMS,1
BIRDVILLE,TARRANT,SCHEPPS,1
BIRDVILLE,TARRANT,VANDERVOORT,1
CARROLL,TARRANT,BORDEN,1
CARROLL,TARRANT,CABELL,1
CARROLL,TARRANT,VANDERVOORT,1
CASTLEBERRY,TARRANT,BORDEN,1
CASTLEBERRY,TARRANT,CABELL,1
CASTLEBERRY,TARRANT,PRESTON,0
CASTLEBERRY,TARRANT,SCHEPPS,1
CASTLEBERRY,TARRANT,VANDERVOORT,1
CROWLEY,TARRANT,CABELL,1
CROWLEY,TARRANT,SCHEPPS,0
CROWLEY,TARRANT,SCHEPPS,1
CROWLEY,TARRANT,VANDERVOORT,0
CROWLEY,TARRANT,VANDERVOORT,1
EAGLE MOUNTAIN-SAGINAW,TARRANT,BORDEN,1
EAGLE MOUNTAIN-SAGINAW,TARRANT,CABELL,1
EAGLE MOUNTAIN-SAGINAW,TARRANT,SCHEPPS,0
EAGLE MOUNTAIN-SAGINAW,TARRANT,SCHEPPS,1
EAGLE MOUNTAIN-SAGINAW,TARRANT,VANDERVOORT,1
EVERMAN,TARRANT,BORDEN,1
EVERMAN,TARRANT,PRESTON,1
FORT WORTH,TARRANT,BORDEN,1
FORT WORTH,TARRANT,CABELL,0
FORT WORTH,TARRANT,FOREMOST,0
FORT WORTH,TARRANT,PRESTON,0
FORT WORTH,TARRANT,SCHEPPS,0
FORT WORTH,TARRANT,VANDERVOORT,0
GRAPEVINE-COLLEYVILLE,TARRANT,CABELL,0
GRAPEVINE-COLLEYVILLE,TARRANT,SCHEPPS,0
HEB,TARRANT,CABELL,1
HEB,TARRANT,PRESTON,0
HEB,TARRANT,SCHEPPS,0
HEB,TARRANT,VANDERVOORT,0
KELLER,TARRANT,SCHEPPS,0
KELLER,TARRANT,VANDERVOORT,0
KENNEDALE,TARRANT,BORDEN,1
KENNEDALE,TARRANT,VANDERVOORT,1
LAKE WORTH,TARRANT,BORDEN,0
LAKE WORTH,TARRANT,VANDERVOORT,0
MANSFIELD,TARRANT,SCHEPPS,1
MANSFIELD,TARRANT,VANDERVOORT,0
WHITE SETTLEMENT,TARRANT,PRESTON,0
AUSTIN,TRAVIS,BORDEN,0
AUSTIN,TRAVIS,OAK FARMS,0
AUSTIN,TRAVIS,SCHEPPS,0
LA VERNIA,WILSON,BORDEN,0
LA VERNIA,WILSON,PRESTON,0
ALVORD,WISE,OAK FARMS,0
BOYD,WISE,OAK FARMS,0
BOYD,WISE,VANDERVOORT,1
BRIDGEPORT,WISE,BORDEN,1
BRIDGEPORT,WISE,OAK FARMS,1
BRIDGEPORT,WISE,VANDERVOORT,1
DECATUR,WISE,PRESTON,0
PARADISE,WISE,VANDERVOORT,1
YANTIS,WOOD,CABELL,1
